IS61LV3216,U,sram:SOJ44-400MIL,32 bit x 16K SRAM,
,,,,
pin,type,name,side,hidden
1,nc,NC,bottom,
2,input,A14,left,
3,input,A13,left,
4,input,A12,left,
5,input,A11,left,
6,input,~{CE},left,
7,tristate,DQ0,right,
8,tristate,DQ1,right,
9,tristate,DQ2,right,
10,tristate,DQ3,right,
11,power_in,VCC,top,
12,gnd,GND,bottom,
13,tristate,DQ4,right,
14,tristate,DQ5,right,
15,tristate,DQ6,right,
16,tristate,DQ7,right,
17,input,~{WE},left,
18,input,A10,left,
19,input,A9,left,
20,input,A8,left,
21,input,A7,left,
22,input,NC,bottom,
23,input,NC,bottom,
24,input,A6,left,
25,input,A5,left,
26,input,A4,left,
27,input,A3,left,
28,nc,NC,bottom,
29,tristate,DQ8,right,
30,tristate,DQ9,right,
31,tristate,DQ10,right,
32,tristate,DQ11,right,
33,power_in,VCC,top,
34,gnd,GND,bottom,
35,tristate,DQ12,right,
36,tristate,DQ13,right,
37,tristate,DQ14,right,
38,tristate,DQ15,right,
39,input,~{LB},left,
40,input,~{UB},left,
41,input,~{OE},left,
42,input,A2,left,
43,input,A1,left,
44,input,A0,left,
