U,SOIC-20W_7.5x12.8mm_P1.27mm,HIP6004BCB,,,
pin,type,name,side,hidden,style
1,input,VSEN,right,,
2,input,OCSET,right,,
3,power,SS,left,,
4,input,VID0,left,,
5,input,VID1,left,,
6,input,VID2,left,,
7,input,VID3,left,,
8,input,VID4,left,,
9,power,COMP,right,,
10,power,FB,right,,
11,gnd,GND,left,,
12,open_collector,PGOOD,left,,
13,input,PHASE,right,,
14,output,UGATE,right,,
15,output,BOOT,left,,
16,power,PGND,right,,
17,output,LGATE,right,,
18,power,VCC,left,,
19,output,OVP,left,,
20,input,RT,bottom,,
